"id_transaccion","fecha","producto","categoria","precio","cantidad","region","vendedor"
1,2024-01-01,"Tablet","Tecnología",1200,3,"Centro","Carlos"
2,2024-01-02,"Tablet","Accesorios",1200,8,"Centro","Laura"
3,2024-01-03,"Tablet","Accesorios",400,1,"Centro","Pedro"
4,2024-01-04,"Laptop","Tecnología",150,8,"Sur","Carlos"
5,2024-01-05,"Tablet","Tecnología",1200,5,"Norte","Laura"
6,2024-01-06,"Laptop","Tecnología",1200,-2,"Sur","Laura"
7,2024-01-07,"Laptop","Tecnología",400,8,"Norte","Carlos"
8,2024-01-08,"Laptop","Accesorios",400,3,"Centro","Elena"
9,2024-01-09,"Tablet","Tecnología",150,3,"Centro","Elena"
10,2024-01-10,"Smartphone","Tecnología",800,1,"Sur","Elena"
11,2024-01-01,"Audífonos","Accesorios",1200,-2,"Norte","Laura"
12,2024-01-02,"Laptop","Tecnología",1200,-2,"Centro","Elena"
13,2024-01-03,"Laptop","Tecnología",800,-2,"Norte","Carlos"
14,2024-01-04,"Smartphone","Tecnología",1200,2,"Centro","Carlos"
15,2024-01-05,"Laptop","Tecnología",150,-2,"Sur","Laura"
16,2024-01-06,"Tablet","Accesorios",800,-2,"Sur","Carlos"
17,2024-01-07,"Audífonos","Accesorios",800,5,"Norte","Elena"
18,2024-01-08,"Smartphone","Tecnología",1200,8,"Centro","Pedro"
19,2024-01-09,"Tablet","Accesorios",400,2,"Sur","Carlos"
20,2024-01-10,"Tablet","Tecnología",400,2,"Norte","Carlos"
21,2024-01-01,"Smartphone","Tecnología",800,5,"Centro","Elena"
22,2024-01-02,"Audífonos","Accesorios",150,-5,"Centro","Elena"
23,2024-01-03,"Smartphone","Accesorios",1200,5,"Centro","Laura"
24,2024-01-04,"Smartphone","Tecnología",800,5,"Norte","Carlos"
25,2024-01-05,"Smartphone","Tecnología",150,5,"Sur","Elena"
26,2024-01-06,"Tablet","Accesorios",1200,1,"Sur","Laura"
27,2024-01-07,"Audífonos","Tecnología",800,5,"Norte","Carlos"
28,2024-01-08,"Laptop","Tecnología",400,1,"Sur","Carlos"
29,2024-01-09,"Tablet","Tecnología",400,5,"Centro","Carlos"
30,2024-01-10,"Laptop","Tecnología",150,8,"Centro","Pedro"
31,2024-01-01,"Smartphone","Accesorios",150,-5,"Norte","Pedro"
32,2024-01-02,"Laptop","Tecnología",1200,8,"Sur","Laura"
33,2024-01-03,"Tablet","Tecnología",150,1,"Norte","Carlos"
34,2024-01-04,"Audífonos","Tecnología",400,8,"Sur","Elena"
35,2024-01-05,"Laptop","Tecnología",800,3,"Centro","Laura"
36,2024-01-06,"Smartphone","Accesorios",1200,8,"Centro","Elena"
37,2024-01-07,"Tablet","Accesorios",1200,8,"Norte","Pedro"
38,2024-01-08,"Tablet","Tecnología",150,-2,"Centro","Laura"
39,2024-01-09,"Smartphone","Accesorios",400,5,"Sur","Pedro"
40,2024-01-10,"Audífonos","Accesorios",1200,5,"Norte","Laura"
