fecha,trimestre,producto,categoria,precio,cantidad,region,vendedor,observaciones
2023-01-15,Q1,Laptop,Hardware,$1200,2,Norte,ANA,
2023-01-20,Q1,Mouse,Accesorios,$25,10,Sur,JUAN,
2023-02-10,Q1,Teclado,Accesorios,$45,5,norte,MARIA,Revisar
2023-02-15,Q1,Monitor,Hardware,,3,Centro,PEDRO,
2023-03-05,Q1,Laptop,Hardware,$1200,1,Sur,Juan,
2023-03-12,Q1,Mouse,Accesorios,12000,-5,NORTE,ana,
2023-01-18,Q1,Monitor,Hardware,$300,2,Centro,pedro,
2023-02-22,Q1,Teclado,Accesorios,$45,8,sur,juan,
2023-03-08,Q1,Laptop,Hardware,$1200,3,Norte,Maria,
2023-03-08,Q1,Laptop,Hardware,$1200,3,Norte,Maria,
2023-04-10,Q2,Laptop,Hardware,$1200,NA,Norte,Ana,
2023-04-15,Q2,Mouse,Accesorios,$25,12,Sur,Juan,
2023-05-05,Q2,Teclado,Accesorios,$45,6,norte,MaRiA,
2023-05-12,Q2,Monitor,Hardware,$300,4,Centro,pedro,
2023-06-01,Q2,Laptop,Hardware,$1200,2,Sur,juan,
2023-06-15,Q2,Mouse,Accesorios,$25,15,NORTE,ana,
2023-04-20,Q2,Monitor,Hardware,$300,3,Centro,Pedro,
2023-05-25,Q2,Teclado,Accesorios,$45,10,sur,JUAN,
2023-06-10,Q2,Laptop,Hardware,,5,Norte,Maria,
2023-06-10,Q2,Laptop,Hardware,,5,Norte,Maria,
2023-07-05,Q3,Laptop,Hardware,$1200,1,Norte,ana,
2023-07-12,Q3,Mouse,Accesorios,$25,20,Sur,Juan,
2023-08-01,Q3,Teclado,Accesorios,$45,4,norte,Maria.,Urgente
2023-08-15,Q3,Monitor,Hardware,NA,2,Centro,pedro,
2023-09-05,Q3,Laptop,Hardware,$1200,3,Sur,JUAN,
2023-09-20,Q3,Mouse,Accesorios,$25,18,NORTE,Ana,
2023-07-18,Q3,Monitor,Hardware,$300,5,Centro,Pedro,
2023-08-22,Q3,Teclado,Accesorios,$45,12,sur,Juan,
2023-09-10,Q3,Laptop,Hardware,$1200,4,Norte,mARIA,
2023-09-10,Q3,Laptop,Hardware,$1200,4,Norte,mARIA,
2023-10-01,Q4,Tablet,Gadgets,$400,5,Norte,LAURA,
2023-10-10,Q4,Tablet,Gadgets,$400,2,Sur,Laura,
2023-11-05,Q4,Tablet,Gadgets,4000,1,Centro,laura,Error?
2023-11-15,Q4,Cámara,Fotos,$550,3,Norte,ANDRES,
2023-12-01,Q4,Cámara,Fotos,$550,1,Sur,Andres,
2023-12-15,Q4,Cámara,Fotos,$550,NA,Centro,andres,
2023-10-20,Q4,Audífonos,Accesorios,$80,10,Norte,CARLOS,
2023-11-25,Q4,Audífonos,Accesorios,$80,8,Sur,carlos,
2023-12-10,Q4,Audífonos,Accesorios,$80,12,Centro,Carlos,
2023-12-10,Q4,Audífonos,Accesorios,$80,12,Centro,Carlos,
